commune,Population,region,Latitude,Longitude
Ain Bou Ali,12354.0,Région de Fès-Meknès,34.13045805,-5.0013856396442
Sefrou,86903.0,Région de Fès-Meknès,33.824898,-4.833336
Bhalil,13727.0,Région de Fès-Meknès,33.852241,-4.870181
El Menzel,11400.0,Région de Fès-Meknès,33.83673,-4.548401
Ribate El Kheir,18469.0,Région de Fès-Meknès,33.8154579,-4.4068912
Kandar Sidi Khiar,10417.0,Région de Fès-Meknès,33.804149550000005,-4.929935436264947
Laanoussar,9285.0,Région de Fès-Meknès,33.684354,-4.869937
Tazouta,5804.0,Région de Fès-Meknès,33.669749,-4.633914
Ahl Sidi Lahcen,3566.0,Région de Fès-Meknès,33.769195350000004,-4.66384705023572
Sidi Youssef Ben Ahmed,13748.0,Région de Fès-Meknès,33.84557675,-4.77739881110018
Aghbalou Aqorar,9920.0,Région de Fès-Meknès,33.9341366,-4.7380687
Azzaba,6128.0,Région de Fès-Meknès,33.8176637,-4.703350420785679
Ain Timguenai,6598.0,Région de Fès-Meknès,33.872278050000006,-4.481646814999289
