Collectivités territoriales,Population,region
Ain Bida,11109.0,Région de Fès-Meknès
Meknès,551503.0,Région de Fès-Meknès
Al Machouar-Stinia,5009.0,Région de Fès-Meknès
My Idriss Zerhoun,10038.0,Région de Fès-Meknès
Ouislane,112180.0,Région de Fès-Meknès
Boufakrane,16892.0,Région de Fès-Meknès
Toulal,26970.0,Région de Fès-Meknès
Oualili,9009.0,Région de Fès-Meknès
Mrhassiyine,8355.0,Région de Fès-Meknès
Sidi Abdellah Al Khayat,12158.0,Région de Fès-Meknès
Charqaoua,4727.0,Région de Fès-Meknès
N'zalat Bni Amar,7672.0,Région de Fès-Meknès
Dkhissa,28296.0,Région de Fès-Meknès
Oued Jdida,16379.0,Région de Fès-Meknès
M'haya,30060.0,Région de Fès-Meknès
Majjate,20698.0,Région de Fès-Meknès
Sidi Slimane Moul Al Kifane,20427.0,Région de Fès-Meknès
Ain Orma,3341.0,Région de Fès-Meknès
Dar Oum Soltane,11609.0,Région de Fès-Meknès
Ait Ouallal,19079.0,Région de Fès-Meknès
Ain Karma-Oued Rommane,13986.0,Région de Fès-Meknès
Ain Jemaa,14557.0,Région de Fès-Meknès
El Hajeb,41359.0,Région de Fès-Meknès
Sabaa Aiyoun,28736.0,Région de Fès-Meknès
Ain Taoujdate,33055.0,Région de Fès-Meknès
Agourai,19158.0,Région de Fès-Meknès
Ait Bourzouine,7906.0,Région de Fès-Meknès
Iqaddar,8774.0,Région de Fès-Meknès
Ait Naamane,5857.0,Région de Fès-Meknès
Ait Harz Allah,13604.0,Région de Fès-Meknès
Ait Boubidmane,22780.0,Région de Fès-Meknès
Bitit,15241.0,Région de Fès-Meknès
Laqsir,32377.0,Région de Fès-Meknès
Tamchachate,3562.0,Région de Fès-Meknès
Ait Yaazem,16912.0,Région de Fès-Meknès
Ait Ouikhalfen,3261.0,Région de Fès-Meknès
Jahjouh,7867.0,Région de Fès-Meknès
Ras Ijerri,6707.0,Région de Fès-Meknès
Azrou,57657.0,Région de Fès-Meknès
Ifrane,13964.0,Région de Fès-Meknès
Tizguite,12204.0,Région de Fès-Meknès
Dayat-Aoua,12050.0,Région de Fès-Meknès
Ben Smim,7676.0,Région de Fès-Meknès
Tigrigra,10085.0,Région de Fès-Meknès
Timahdite,11571.0,Région de Fès-Meknès
Ain Leuh,8989.0,Région de Fès-Meknès
Sidi El Makhfi,16441.0,Région de Fès-Meknès
Oued Ifrane,10267.0,Région de Fès-Meknès
Moulay Yacoub,4545.0,Région de Fès-Meknès
Ain Chkef,91541.0,Région de Fès-Meknès
Sebaa Rouadi,26750.0,Région de Fès-Meknès
Mikkes,6145.0,Région de Fès-Meknès
Sebt Loudaya,11984.0,Région de Fès-Meknès
Laajajra,14715.0,Région de Fès-Meknès
Sidi Daoud,13088.0,Région de Fès-Meknès
Oulad Mimoun,9399.0,Région de Fès-Meknès
Louadaine,11523.0,Région de Fès-Meknès
Ain Kansara,14910.0,Région de Fès-Meknès
Ain Bou Ali,12354.0,Région de Fès-Meknès
Sefrou,86903.0,Région de Fès-Meknès
Immouzzer-Kandar,21943.0,Région de Fès-Meknès
Bhalil,13727.0,Région de Fès-Meknès
El Menzel,11400.0,Région de Fès-Meknès
Ribate El Kheir,18469.0,Région de Fès-Meknès
Kandar Sidi Khiar,10417.0,Région de Fès-Meknès
Laanoussar,9285.0,Région de Fès-Meknès
Tazouta,5804.0,Région de Fès-Meknès
Ahl Sidi Lahcen,3566.0,Région de Fès-Meknès
Sidi Youssef Ben Ahmed,13748.0,Région de Fès-Meknès
Aghbalou Aqorar,9920.0,Région de Fès-Meknès
Azzaba,6128.0,Région de Fès-Meknès
Ain Timguenai,6598.0,Région de Fès-Meknès
Mtarnagha,4056.0,Région de Fès-Meknès
Oulad Mkoudou,5872.0,Région de Fès-Meknès
Tafajight,1397.0,Région de Fès-Meknès
Adrej,1216.0,Région de Fès-Meknès
Dar El Hamra,3540.0,Région de Fès-Meknès
Irhzrane,8498.0,Région de Fès-Meknès
Ras Tabouda,6022.0,Région de Fès-Meknès
Bir Tam-Tam,8954.0,Région de Fès-Meknès
Ain Cheggag,28584.0,Région de Fès-Meknès
Ait Sebaa Lajrouf,18701.0,Région de Fès-Meknès
Boulemane,6761.0,Région de Fès-Meknès
Missour,28408.0,Région de Fès-Meknès
Outat El Haj,20673.0,Région de Fès-Meknès
Imouzzer Marmoucha,4676.0,Région de Fès-Meknès
Guigou,24677.0,Région de Fès-Meknès
Enjil,7984.0,Région de Fès-Meknès
Skoura M'daz,8297.0,Région de Fès-Meknès
Ait Bazza,2397.0,Région de Fès-Meknès
Almis Marmoucha,2292.0,Région de Fès-Meknès
Talzemt,2701.0,Région de Fès-Meknès
Ait El Mane,1694.0,Région de Fès-Meknès
Serghina,3567.0,Région de Fès-Meknès
El Mers,4887.0,Région de Fès-Meknès
Ksabi-Moulouya,10471.0,Région de Fès-Meknès
Ouizeght,5430.0,Région de Fès-Meknès
Sidi Boutayeb,9969.0,Région de Fès-Meknès
Oulad Ali Youssef,3279.0,Région de Fès-Meknès
El Orjane,7706.0,Région de Fès-Meknès
Tissaf,11615.0,Région de Fès-Meknès
Ermila,8333.0,Région de Fès-Meknès
Fritissa,29594.0,Région de Fès-Meknès
Taounate,39114.0,Région de Fès-Meknès
Karia Ba Mohamed,20859.0,Région de Fès-Meknès
Rhafsai,7117.0,Région de Fès-Meknès
Thar Es-Souk,5218.0,Région de Fès-Meknès
Tissa,12096.0,Région de Fès-Meknès
Bouchabel,13767.0,Région de Fès-Meknès
Jbabra,15904.0,Région de Fès-Meknès
Sidi El Abed,11240.0,Région de Fès-Meknès
Loulja,13679.0,Région de Fès-Meknès
Moulay Abdelkrim,6557.0,Région de Fès-Meknès
Bni Snous,8479.0,Région de Fès-Meknès
Moulay Bouchta,12554.0,Région de Fès-Meknès
Mkansa,23690.0,Région de Fès-Meknès
Rhouazi,16405.0,Région de Fès-Meknès
Ourtzarh,13256.0,Région de Fès-Meknès
Galaz,15201.0,Région de Fès-Meknès
Sidi Haj M'hamed,7880.0,Région de Fès-Meknès
Sidi Yahia Bni Zeroual,14284.0,Région de Fès-Meknès
Oudka,7380.0,Région de Fès-Meknès
Ratba,14944.0,Région de Fès-Meknès
El Bibane,5853.0,Région de Fès-Meknès
Sidi Mokhfi,7915.0,Région de Fès-Meknès
Timezgana,15191.0,Région de Fès-Meknès
Kissane,11763.0,Région de Fès-Meknès
Tabouda,13635.0,Région de Fès-Meknès
Tafrant,13217.0,Région de Fès-Meknès
Ain Mediouna,15115.0,Région de Fès-Meknès
Bni Oulid,8967.0,Région de Fès-Meknès
Bouadel,11564.0,Région de Fès-Meknès
Bouhouda,24823.0,Région de Fès-Meknès
Zrizer,7539.0,Région de Fès-Meknès
Khlalfa,14340.0,Région de Fès-Meknès
Rghioua,3666.0,Région de Fès-Meknès
Mezraoua,7712.0,Région de Fès-Meknès
Tamedit,12252.0,Région de Fès-Meknès
Bni Ounjel Tafraout,5993.0,Région de Fès-Meknès
Fennassa Bab El Hit,10285.0,Région de Fès-Meknès
El Bsabsa,7485.0,Région de Fès-Meknès
Oued Jemaa,7825.0,Région de Fès-Meknès
Ras El Oued,13299.0,Région de Fès-Meknès
Sidi M'hamed Ben Lahcen,16980.0,Région de Fès-Meknès
Ain Maatouf,8639.0,Région de Fès-Meknès
Ain Aicha,24723.0,Région de Fès-Meknès
Oulad Daoud,10800.0,Région de Fès-Meknès
Bouarouss,16329.0,Région de Fès-Meknès
Ain Legdah,10598.0,Région de Fès-Meknès
Oulad Ayyad,9763.0,Région de Fès-Meknès
Messassa,8195.0,Région de Fès-Meknès
Outabouabane,8560.0,Région de Fès-Meknès
Taza,150763.0,Région de Fès-Meknès
Tahla,28612.0,Région de Fès-Meknès
Aknoul,4410.0,Région de Fès-Meknès
Ouad Amlil,10929.0,Région de Fès-Meknès
Bourd,6996.0,Région de Fès-Meknès
Ajdir,8640.0,Région de Fès-Meknès
Gzenaya Al Janoubia,8125.0,Région de Fès-Meknès
Jbarna,2328.0,Région de Fès-Meknès
Sidi Ali Bourakba,6280.0,Région de Fès-Meknès
Tizi Ouasli,5436.0,Région de Fès-Meknès
Ait Saghrouchen,15147.0,Région de Fès-Meknès
Tazarine,2030.0,Région de Fès-Meknès
Bouyablane,1667.0,Région de Fès-Meknès
Matmata,11665.0,Région de Fès-Meknès
Smia,7385.0,Région de Fès-Meknès
Zrarda,9343.0,Région de Fès-Meknès
Bni Ftah,9632.0,Région de Fès-Meknès
Traiba,5773.0,Région de Fès-Meknès
Taifa,6000.0,Région de Fès-Meknès
Kaf El Ghar,7060.0,Région de Fès-Meknès
Msila,7800.0,Région de Fès-Meknès
Brarha,6625.0,Région de Fès-Meknès
El Gouzate,5942.0,Région de Fès-Meknès
Tainaste,10411.0,Région de Fès-Meknès
Bab Boudir,4209.0,Région de Fès-Meknès
Bab Marzouka,17323.0,Région de Fès-Meknès
Galdamane,21732.0,Région de Fès-Meknès
Meknassa Al Gharbia,3422.0,Région de Fès-Meknès
Meknassa Acharqia,5197.0,Région de Fès-Meknès
Bni Lent,10801.0,Région de Fès-Meknès
Oulad Chrif,7882.0,Région de Fès-Meknès
Maghraoua,6775.0,Région de Fès-Meknès
Oulad Zbair,17562.0,Région de Fès-Meknès
Bouhlou,8510.0,Région de Fès-Meknès
Bouchfaa,10093.0,Région de Fès-Meknès
